"Medicare Part B Drug Spending and Utilization, Calendar Years 2012 - 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2012,,,,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,,Yearly Change,
J0500,"Injection, dicyclomine hcl, up to 20 mg",Bentyl,Dicyclomine HCL,"$36,981","1,495","1,266",912,$24.74,$29.21,$40.55,"$44,370","1,514","1,305",812,$29.31,$34.00,$54.64,"$38,992","1,213","1,018",646,$32.15,$38.30,$60.36,"$47,244","1,247",931,612,$37.89,$50.75,$77.20,"$51,439","1,072",790,472,$47.98,$65.11,$108.98,$60.72,26.65%,18.01%
J0515,"Injection, benztropine mesylate, per 1 mg",Benztropine Mesylate*,Benztropine Mesylate*,"$5,196",269,176,49,$19.32,$29.53,$106.05,"$4,715",231,167,44,$20.41,$28.24,$107.17,"$3,119",166,121,38,$18.79,$25.77,$82.07,"$1,312",85,60,22,$15.44,$21.87,$59.65,"$3,925",162,120,29,$24.23,$32.71,$135.35,$27.20,56.96%,5.83%
J0597,"Injection, c-1 esterase inhibitor (human), berinert, 10 units",Berinert,C1 Esterase Inhibitor,"$556,342","19,731",174,30,$28.20,"$3,197.37","$18,544.75","$490,933","16,013",113,45,$30.66,"$4,344.54","$10,909.62","$603,307","17,171",113,59,$35.14,"$5,339.00","$10,225.55","$791,357","20,385",240,76,$38.82,"$3,297.32","$10,412.59","$1,458,774","32,081",299,81,$45.47,"$4,878.84","$18,009.56",$46.42,17.13%,12.69%
J0702,"Injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg",Betamethasone Acetate-Sod Phos*,Betameth Acet/Betamet Sod Phos*,"$13,947,321","2,532,625","1,076,399","689,479",$5.51,$12.96,$20.23,"$14,250,888","2,565,063","1,101,313","708,818",$5.56,$12.94,$20.11,"$14,640,606","2,617,558","1,112,900","723,592",$5.59,$13.16,$20.23,"$15,898,946","2,751,355","1,158,962","752,647",$5.78,$13.72,$21.12,"$17,077,491","2,928,872","1,206,689","779,204",$5.83,$14.15,$21.92,$5.94,0.90%,1.44%
J7682,"Tobramycin, inhalation solution, fda-approved final product, non-compounded, unit dose form, administered through dme, per 300 milligrams",Bethkis*,Tobramycin*,"$28,110,190","322,370","6,089","2,297",$87.20,"$4,616.55","$12,237.78","$31,199,793","292,443","5,801","2,196",$106.69,"$5,378.35","$14,207.56","$32,311,975","315,250","6,345","2,221",$102.50,"$5,092.51","$14,548.39","$24,771,839","346,587","6,678","2,307",$71.47,"$3,709.47","$10,737.68","$18,751,059","380,683","7,658","2,547",$49.26,"$2,448.56","$7,362.02",$50.79,-31.08%,-13.31%
J0558,"Injection, penicillin g benzathine and penicillin g procaine, 100,000 units",Bicillin C-R,Pen G Benz/Pen G Procaine,"$116,082","34,110","4,249","3,043",$3.40,$27.32,$38.15,"$117,000","28,224","3,332","2,502",$4.15,$35.11,$46.76,"$126,332","28,754","2,747","2,096",$4.39,$45.99,$60.27,"$166,315","30,847","2,742","1,980",$5.39,$60.65,$84.00,"$181,515","27,671","2,287","1,540",$6.56,$79.37,$117.87,$7.15,21.67%,17.83%
J0561,"Injection, penicillin g benzathine, 100,000 units",Bicillin L-A,Penicillin G Benzathine,"$553,471","129,477","13,497","8,837",$4.27,$41.01,$62.63,"$544,920","112,129","12,033","7,879",$4.86,$45.29,$69.16,"$624,171","113,465","11,072","7,119",$5.50,$56.37,$87.68,"$771,909","115,607","10,754","7,100",$6.68,$71.78,$108.72,"$1,808,340","210,839","16,204","11,975",$8.58,$111.60,$151.01,$9.13,28.45%,19.02%
J9050,"Injection, carmustine, 100 mg",Bicnu,Carmustine,"$158,565",915,406,155,$173.29,$390.55,"$1,023.00","$314,148",901,336,175,$348.67,$934.96,"$1,795.13","$1,322,696",925,325,175,"$1,429.94","$4,069.83","$7,558.26","$1,210,542",552,185,109,"$2,193.01","$6,543.47","$11,105.89","$1,540,819",468,134,94,"$3,292.35","$11,498.65","$16,391.69","$3,686.61",50.13%,108.78%
J1556,"Injection, immune globulin (bivigam), 500 mg",Bivigam,Immun Glob G(Igg)/Gly/Iga Ov50,,,,,,,,,,,,,,,"$5,910,449","155,821","2,035",317,$37.93,"$2,904.40","$18,644.95","$7,785,864","207,241","2,509",438,$37.57,"$3,103.17","$17,775.95","$13,724,204","361,463","3,809",532,$37.97,"$3,603.10","$25,797.38",$38.75,1.06%,0.05%
J9040,"Injection, bleomycin sulfate, 15 units",Bleomycin Sulfate,Bleomycin Sulfate,"$193,139","7,452","4,583","1,351",$25.92,$42.14,$142.96,"$144,784","7,007","4,354","1,293",$20.66,$33.25,$111.98,"$129,824","6,419","3,996","1,244",$20.23,$32.49,$104.36,"$142,152","6,227","3,923","1,214",$22.83,$36.24,$117.09,"$109,615","5,229","3,390","1,091",$20.96,$32.33,$100.47,$21.73,-8.18%,-5.17%
J1740,"Injection, ibandronate sodium, 1 mg",Boniva*,Ibandronate Sodium*,"$18,925,887","126,324","43,020","17,963",$149.82,$439.93,"$1,053.60","$10,964,596","72,984","24,803","10,577",$150.23,$442.07,"$1,036.65","$9,035,856","62,395","20,135","7,814",$144.82,$448.76,"$1,156.37","$5,454,100","47,513","16,250","6,421",$114.79,$335.64,$849.42,"$4,030,718","39,340","13,615","5,247",$102.46,$296.05,$768.19,$107.00,-10.74%,-9.06%
J0585,"Injection, onabotulinumtoxina, 1 unit",Botox*,Onabotulinumtoxina*,"$168,241,740","30,981,000","176,790","82,587",$5.43,$951.65,"$2,037.15","$188,887,606","35,055,166","200,474","94,082",$5.39,$942.21,"$2,007.69","$218,861,743","40,507,888","229,512","106,062",$5.40,$953.60,"$2,063.53","$253,639,117","45,700,168","255,660","116,805",$5.55,$992.10,"$2,171.47","$295,486,509","51,885,269","288,054","130,399",$5.69,"$1,025.80","$2,266.02",$5.80,2.61%,1.20%
J7605,"Arformoterol, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 15 micrograms",Brovana,Arformoterol Tartrate,"$110,767,212","21,077,282","358,855","63,900",$5.26,$308.67,"$1,733.45","$120,778,637","22,642,274","385,161","65,358",$5.33,$313.58,"$1,847.95","$148,915,807","24,194,526","409,855","68,146",$6.15,$363.34,"$2,185.25","$178,864,675","24,884,340","421,215","68,708",$7.19,$424.64,"$2,603.26","$211,074,241","24,876,677","420,270","66,776",$8.48,$502.23,"$3,160.93",$8.62,18.04%,12.72%
J7626,"Budesonide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 0.5 mg",Budesonide*,Budesonide*,"$215,936,712","44,464,982","764,593","141,707",$4.86,$282.42,"$1,523.83","$231,413,300","44,509,875","764,068","140,297",$5.20,$302.87,"$1,649.45","$225,542,948","43,689,677","749,030","135,745",$5.16,$301.11,"$1,661.52","$230,235,879","43,622,352","749,836","136,485",$5.28,$307.05,"$1,686.90","$196,567,537","44,027,567","758,834","138,683",$4.46,$259.04,"$1,417.39",$4.54,-15.41%,-2.08%
J0592,"Injection, buprenorphine hydrochloride, 0.1 mg",Buprenorphine HCL,Buprenorphine HCL,"$2,906","3,887","2,047","1,302",$0.75,$1.42,$2.23,"$2,546","2,762","1,300",836,$0.92,$1.96,$3.05,"$8,182","2,837","1,475","1,061",$2.88,$5.55,$7.71,"$7,004","2,416","1,574","1,046",$2.90,$4.45,$6.70,"$8,590","2,757","1,641","1,091",$3.12,$5.23,$7.87,$3.20,7.47%,42.87%
J0594,"Injection, busulfan, 1 mg",Busulfex,Busulfan,"$188,304","9,259",69,61,$20.34,"$2,729.05","$3,086.95","$306,152","13,478",80,74,$22.71,"$3,826.90","$4,137.18","$435,512","15,792",79,64,$27.58,"$5,512.81","$6,804.87","$609,183","18,694",105,84,$32.59,"$5,801.74","$7,252.18","$284,936","8,209",77,69,$34.71,"$3,700.47","$4,129.51",$34.98,6.52%,14.30%
J0595,"Injection, butorphanol tartrate, 1 mg",Butorphanol Tartrate,Butorphanol Tartrate,"$3,371","3,566","1,968","1,102",$0.95,$1.71,$3.06,"$8,658","6,227","3,022","1,545",$1.39,$2.87,$5.60,"$11,571","6,723","3,284","1,585",$1.72,$3.52,$7.30,"$11,979","6,206","3,112","1,462",$1.93,$3.85,$8.19,"$11,048","4,784","2,698","1,244",$2.31,$4.09,$8.88,$2.35,19.65%,25.02%
J0636,"Injection, calcitriol, 0.1 mcg",Calcitriol,Calcitriol,"$46,530","118,830","3,540",680,$0.39,$13.14,$68.43,"$17,729","110,897","4,352",883,$0.16,$4.07,$20.08,"$2,194","6,095",736,172,$0.36,$2.98,$12.75,"$2,170","5,850",743,107,$0.37,$2.92,$20.28,$375,995,616,91,$0.38,$0.61,$4.12,$0.39,1.52%,-0.98%
J0600,"Injection, edetate calcium disodium, up to 1000 mg",Calcium DIsodium Versenate,Edetate Calcium DIsodium,"$1,696,874","13,850","5,844",738,$122.52,$290.36,"$2,299.29","$1,791,483","13,229","6,881",916,$135.42,$260.35,"$1,955.77","$2,775,333","13,612","7,560",981,$203.90,$367.11,"$2,829.09","$5,625,588","13,358","7,461","1,097",$421.14,$754.00,"$5,128.16","$8,874,389","8,550","5,410",542,"$1,037.94","$1,640.37","$16,373.41","$5,594.42",146.46%,70.60%
J0640,"Injection, leucovorin calcium, per 50 mg",Calcium Folinate*,Leucovorin Calcium*,"$2,183,322","1,002,164","120,635","16,303",$2.18,$18.10,$133.92,"$5,081,627","1,219,951","125,521","15,923",$4.17,$40.48,$319.14,"$4,902,444","1,250,933","116,310","14,639",$3.92,$42.15,$334.89,"$4,456,414","1,221,663","106,023","13,667",$3.65,$42.03,$326.07,"$4,336,249","1,257,229","104,100","13,709",$3.45,$41.65,$316.31,$3.52,-5.45%,12.17%
J0610,"Injection, calcium gluconate, per 10 ml",Calcium Gluconate,Calcium Gluconate,"$60,367","96,385","53,687","10,261",$0.63,$1.12,$5.88,"$46,687","68,869","30,713","6,834",$0.68,$1.52,$6.83,"$40,657","31,220","20,067","3,646",$1.30,$2.03,$11.15,"$70,704","33,257","17,983","3,472",$2.13,$3.93,$20.36,"$117,541","40,573","19,570","3,442",$2.90,$6.01,$34.15,$3.06,36.27%,46.65%
J9206,"Injection, irinotecan, 20 mg",Camptosar*,Irinotecan HCL*,"$7,508,565","1,725,210","123,276","20,044",$4.35,$60.91,$374.60,"$3,388,652","925,848","72,878","10,880",$3.66,$46.50,$311.46,"$3,856,132","854,703","66,901","10,001",$4.51,$57.64,$385.57,"$3,224,636","828,207","63,445","9,384",$3.89,$50.83,$343.63,"$3,195,017","792,751","60,292","8,989",$4.03,$52.99,$355.44,$4.10,3.51%,-1.90%
J0637,"Injection, caspofungin acetate, 5 mg",Cancidas,Caspofungin Acetate,"$721,011","56,302","2,587",412,$12.81,$278.71,"$1,750.03","$574,538","44,726","1,688",333,$12.85,$340.37,"$1,725.34","$476,724","38,647","1,503",318,$12.34,$317.18,"$1,499.13","$476,701","39,165","1,268",308,$12.17,$375.95,"$1,547.73","$618,975","49,914","2,445",312,$12.40,$253.16,"$1,983.90",$12.58,1.88%,-0.80%
J8520,"Capecitabine, oral, 150 mg",Capecitabine (J8520)*,Capecitabine*,"$3,895,056","592,954","9,524","2,904",$6.57,$408.97,"$1,341.27","$4,101,032","448,939","8,973","2,808",$9.13,$457.04,"$1,460.48","$4,454,872","471,980","9,385","2,962",$9.44,$474.68,"$1,504.01","$3,291,162","501,179","9,832","2,966",$6.57,$334.74,"$1,109.63","$2,444,727","531,393","10,239","3,191",$4.60,$238.77,$766.13,$4.72,-29.94%,-8.52%
J8521,"Capecitabine, oral, 500 mg",Capecitabine (J8521)*,Capecitabine*,"$227,703,225","8,588,002","113,506","26,950",$26.51,"$2,006.09","$8,449.10","$255,826,407","8,429,665","111,128","26,254",$30.35,"$2,302.09","$9,744.28","$274,639,203","8,744,491","115,135","27,093",$31.41,"$2,385.37","$10,136.91","$192,959,244","8,817,716","115,291","26,738",$21.88,"$1,673.67","$7,216.67","$128,867,307","8,717,505","113,737","26,749",$14.78,"$1,133.03","$4,817.65",$15.20,-32.45%,-13.59%
J9045,"Injection, carboplatin, 50 mg",Carboplatin,Carboplatin,"$5,941,387","1,602,458","236,579","50,340",$3.71,$25.11,$118.03,"$4,683,641","1,480,438","218,990","46,791",$3.16,$21.39,$100.10,"$4,780,047","1,425,090","211,509","44,915",$3.35,$22.60,$106.42,"$5,007,215","1,321,298","193,993","41,873",$3.79,$25.81,$119.58,"$4,396,485","1,236,761","179,479","39,458",$3.55,$24.50,$111.42,$3.60,-6.20%,-1.05%
J1566,"Injection, immune globulin, intravenous, lyophilized (e.g., powder), not otherwise specified, 500 mg",Carimune NF Nanofiltered*,Immun Globg(Igg)/Sucr/Iga Ov50*,"$43,764,699","1,420,010","17,753","3,439",$30.82,"$2,465.20","$12,726.00","$43,888,796","1,406,318","17,494","3,181",$31.21,"$2,508.79","$13,797.17","$58,657,043","1,953,951","23,624","3,686",$30.02,"$2,482.94","$15,913.47","$48,872,449","1,648,804","19,445","2,959",$29.64,"$2,513.37","$16,516.54","$53,635,764","1,600,614","19,566","2,825",$33.51,"$2,741.27","$18,986.11",$33.86,13.05%,2.11%
J1955,"Injection, levocarnitine, per 1 gm",Carnitor*,Levocarnitine*,"$88,712","23,731","2,046",291,$3.74,$43.36,$304.85,"$25,648","13,705","1,350",197,$1.87,$19.00,$130.19,"$2,142",272,259,22,$7.88,$8.27,$97.37,"$2,375",249,218,29,$9.54,$10.89,$81.90,"$1,502",100,62,20,$15.02,$24.22,$75.08,$18.99,57.42%,41.57%
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium*,Cefazolin Sodium*,"$163,225","227,462","63,582","41,150",$0.72,$2.57,$3.97,"$197,952","236,635","64,057","40,370",$0.84,$3.09,$4.90,"$167,503","180,435","48,330","32,166",$0.93,$3.47,$5.21,"$187,415","214,147","49,041","31,890",$0.88,$3.82,$5.88,"$198,197","222,597","48,230","30,462",$0.89,$4.11,$6.51,$0.91,1.74%,5.54%
J0692,"Injection, cefepime hydrochloride, 500 mg",Cefepime*,Cefepime In Iso-Osm Dextrose*,"$471,556","155,735","24,587","3,011",$3.03,$19.18,$156.61,"$391,255","142,931","24,010","2,968",$2.74,$16.30,$131.82,"$363,911","146,680","22,477","2,971",$2.48,$16.19,$122.49,"$478,986","193,635","25,083","3,259",$2.47,$19.10,$146.97,"$323,976","129,903","19,269","2,720",$2.49,$16.81,$119.11,$2.48,0.82%,-4.73%
J0698,"Injection, cefotaxime sodium, per gm",Cefotaxime Sodium*,Cefotaxime Sodium*,"$43,033","23,930","18,181","12,302",$1.80,$2.37,$3.50,"$40,050","21,792","16,166","10,963",$1.84,$2.48,$3.65,"$37,369","19,814","14,468","9,426",$1.89,$2.58,$3.96,"$24,695","13,286","9,108","6,546",$1.86,$2.71,$3.77,"$13,291","9,824","6,555","4,436",$1.35,$2.03,$3.00,$1.23,-27.21%,-6.87%
J0694,"Injection, cefoxitin sodium, 1 gm",Cefoxitin*,Cefoxitin Sodium*,"$48,334","8,147","4,252","2,616",$5.93,$11.37,$18.48,"$61,086","11,485","4,491","2,449",$5.32,$13.60,$24.94,"$69,839","13,989","4,858","2,267",$4.99,$14.38,$30.81,"$62,389","12,901","5,272","2,587",$4.84,$11.83,$24.12,"$49,541","10,723","4,816","2,707",$4.62,$10.29,$18.30,$4.65,-4.46%,-6.06%
J0713,"Injection, ceftazidime, per 500 mg",Ceftazidime*,Ceftazidime*,"$172,322","71,200","10,963","4,475",$2.42,$15.72,$38.51,"$134,098","63,306","10,319","4,489",$2.12,$13.00,$29.87,"$115,957","54,494","8,782","3,837",$2.13,$13.20,$30.22,"$105,181","50,222","8,681","3,631",$2.09,$12.12,$28.97,"$154,941","65,644","9,628","3,518",$2.36,$16.09,$44.04,$2.39,12.70%,-0.62%
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone*,Ceftriaxone In Is-Osm Dextrose*,"$3,068,844","3,726,173","977,877","586,952",$0.82,$3.14,$5.23,"$3,365,523","3,835,232","1,007,250","604,005",$0.88,$3.34,$5.57,"$2,755,996","3,877,981","1,001,174","601,409",$0.71,$2.75,$4.58,"$2,915,900","4,088,436","1,050,423","637,344",$0.71,$2.78,$4.58,"$2,573,954","4,175,143","1,071,087","644,378",$0.62,$2.40,$3.99,$0.61,-13.56%,-6.98%
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Cefuroxime*,"Cefuroxime Sodium/Dextrose,Iso*","$14,669","6,195","5,153","2,281",$2.37,$2.85,$6.43,"$16,393","5,410","5,209","2,140",$3.03,$3.15,$7.66,"$15,865","5,408","5,234","1,990",$2.93,$3.03,$7.97,"$15,327","5,685","5,514","2,094",$2.70,$2.78,$7.32,"$18,296","6,270","6,028","2,365",$2.92,$3.04,$7.74,$2.90,8.23%,5.36%
J7517,"Mycophenolate mofetil, oral, 250 mg",Cellcept*,Mycophenolate Mofetil*,"$79,742,597","60,331,506","359,462","45,534",$1.32,$221.84,"$1,751.28","$70,845,418","60,908,175","369,481","46,358",$1.16,$191.74,"$1,528.22","$78,319,888","61,653,582","382,202","47,440",$1.27,$204.92,"$1,650.93","$77,696,788","62,913,896","392,819","48,212",$1.23,$197.79,"$1,611.57","$63,910,582","65,368,192","409,977","50,437",$0.98,$155.89,"$1,267.14",$1.02,-20.83%,-7.26%
J2724,"Injection, protein c concentrate, intravenous, human, 10 iu",Ceprotin,"Protein C, Human",,,,,,,,,,,,,,,"$17,789","1,257",15,11,$14.15,"$1,185.93","$1,617.17","$117,882","7,973",151,59,$14.79,$780.68,"$1,998.00","$259,908","20,794",900,173,$12.50,$288.79,"$1,502.36",$15.20,-15.46%,-6.02%
J1786,"Injection, imiglucerase, 10 units",Cerezyme,Imiglucerase,"$37,300,279","898,568","2,152",149,$41.51,"$17,332.84","$250,337.44","$43,997,045","1,063,522","2,469",165,$41.37,"$17,819.78","$266,648.76","$43,482,572","1,053,911","2,484",168,$41.26,"$17,505.06","$258,824.83","$41,772,521","1,012,425","2,393",176,$41.26,"$17,456.13","$237,343.87","$40,454,222","983,296","2,333",151,$41.14,"$17,340.00","$267,908.76",$41.96,-0.29%,-0.22%
J2850,"Injection, secretin, synthetic, human, 1 microgram",Chirhostim,Secretin Acetate (Human),"$264,886","9,825",705,657,$26.96,$375.73,$403.18,"$189,658","6,988",566,539,$27.14,$335.08,$351.87,"$188,574","6,216",393,375,$30.34,$479.83,$502.86,"$396,052","11,627",701,641,$34.06,$564.98,$617.87,"$451,532","13,258",773,729,$34.06,$584.13,$619.39,$34.78,-0.02%,6.02%
J0720,"Injection, chloramphenicol sodium succinate, up to 1 gm",Chloramphenicol Sod Succinate,Chloramphenicol Sod Succinate,"$3,105",187,159,123,$16.61,$19.53,$25.25,"$2,888",168,138,105,$17.19,$20.93,$27.51,"$6,306",333,255,190,$18.94,$24.73,$33.19,"$11,423",568,410,280,$20.11,$27.86,$40.80,"$18,169",649,360,282,$28.00,$50.47,$64.43,$36.27,39.21%,13.95%
J1205,"Injection, chlorothiazide sodium, per 500 mg",Chlorothiazide Sodium*,Chlorothiazide Sodium*,"$578,574","2,172","1,161",653,$266.38,$498.34,$886.02,"$305,825","1,597",866,604,$191.50,$353.15,$506.33,"$241,575","1,822","1,073",551,$132.59,$225.14,$438.43,"$263,089","2,157","1,383",581,$121.97,$190.23,$452.82,"$222,095","2,229","1,234",555,$99.64,$179.98,$400.17,$100.81,-18.31%,-21.80%
J3230,"Injection, chlorpromazine hcl, up to 50 mg",Chlorpromazine HCL,Chlorpromazine HCL,"$4,425",403,342,215,$10.98,$12.94,$20.58,"$6,643",412,360,183,$16.12,$18.45,$36.30,"$5,707",294,267,141,$19.41,$21.37,$40.47,"$4,035",192,181,119,$21.02,$22.29,$33.91,"$3,222",150,146,87,$21.48,$22.07,$37.03,$22.54,2.21%,18.27%
Q9961,"High osmolar contrast material, 250-299 mg/ml iodine concentration, per ml",Cholografin Meglumine*,Iodipamide Meglumine*,"$11,729","64,909","4,028","2,324",$0.18,$2.91,$5.05,"$8,746","47,003","4,737","2,553",$0.19,$1.85,$3.43,"$6,996","37,866","5,294","2,074",$0.18,$1.32,$3.37,"$7,851","38,042","5,619","2,465",$0.21,$1.40,$3.18,"$7,553","37,713","5,530","2,400",$0.20,$1.37,$3.15,$0.20,-2.94%,2.61%
J0725,"Injection, chorionic gonadotropin, per 1,000 usp units",Chorionic Gonadotropin*,"Chorionic Gonadotropin, Human*","$147,254","12,784","10,333",900,$11.52,$14.25,$163.62,"$187,001","14,815","13,515",921,$12.62,$13.84,$203.04,"$224,359","14,476","12,658",834,$15.50,$17.72,$269.02,"$182,645","9,616","7,794",623,$18.99,$23.43,$293.17,"$194,071","10,545","7,732",457,$18.40,$25.10,$424.66,$20.09,-3.11%,12.43%
J0740,"Injection, cidofovir, 375 mg",Cidofovir*,Cidofovir*,"$1,478,892","2,182","1,828",560,$677.77,$809.02,"$2,640.88","$1,725,738","2,580","2,235",778,$668.89,$772.14,"$2,218.17","$1,933,457","3,266","2,752",964,$592.00,$702.56,"$2,005.66","$1,617,284","2,858","2,494",778,$565.88,$648.47,"$2,078.77","$1,081,878","2,088","1,736",527,$518.14,$623.20,"$2,052.90",$575.31,-8.44%,-6.49%
J0717,"Injection, certolizumab pegol, 1 mg",Cimzia,Certolizumab Pegol,,,,,,,,,,,,,,,"$118,529,854","19,877,707","52,637","7,470",$5.96,"$2,251.84","$15,867.45","$174,974,111","28,283,533","74,225","9,983",$6.19,"$2,357.35","$17,527.21","$235,364,173","35,392,740","92,527","11,953",$6.65,"$2,543.74","$19,690.80",$6.78,7.49%,5.60%
J0598,"Injection, c-1 esterase inhibitor (human), cinryze, 10 units",Cinryze,C1 Esterase Inhibitor,"$1,450,259","32,758",205,21,$44.27,"$7,074.43","$69,059.95","$2,388,843","50,171",288,30,$47.61,"$8,294.59","$79,628.10","$2,691,625","54,024",438,36,$49.82,"$6,145.26","$74,767.37","$3,946,032","75,625",650,31,$52.18,"$6,070.82","$127,291.34","$3,266,283","64,510",638,26,$50.63,"$5,119.57","$125,626.26",$54.85,-2.96%,3.41%
J0744,"Injection, ciprofloxacin for intravenous infusion, 200 mg",Cipro I.V.*,Ciprofloxacin Lactate/D5W*,"$8,650","6,309","2,665",884,$1.37,$3.25,$9.78,"$12,102","6,291","2,841",749,$1.92,$4.26,$16.16,"$9,278","6,683","3,135",957,$1.39,$2.96,$9.69,"$9,563","6,390","2,996",960,$1.50,$3.19,$9.96,"$12,300","8,043","3,795",882,$1.53,$3.24,$13.95,$1.30,2.19%,2.77%
J9060,"Injection, cisplatin, powder or solution, 10 mg",Cisplatin,Cisplatin,"$990,501","538,162","68,489","15,294",$1.84,$14.46,$64.76,"$991,702","495,808","63,037","13,938",$2.00,$15.73,$71.15,"$901,807","438,529","55,673","12,415",$2.06,$16.20,$72.64,"$814,790","402,700","49,896","11,257",$2.02,$16.33,$72.38,"$677,504","382,811","47,529","10,684",$1.77,$14.25,$63.41,$1.81,-12.53%,-0.97%
J9065,"Injection, cladribine, per 1 mg",Cladribine,Cladribine,"$716,641","25,934","1,848",365,$27.63,$387.79,"$1,963.40","$720,402","25,421","1,797",361,$28.34,$400.89,"$1,995.57","$511,478","20,220","1,320",305,$25.30,$387.48,"$1,676.98","$534,432","22,800","1,488",323,$23.44,$359.16,"$1,654.59","$535,772","25,327","1,486",330,$21.15,$360.55,"$1,623.55",$20.77,-9.75%,-6.46%
J9027,"Injection, clofarabine, 1 mg",Clolar,Clofarabine,"$3,140,027","25,674",478,98,$122.30,"$6,569.09","$32,041.09","$3,735,503","29,622",475,112,$126.11,"$7,864.22","$33,352.71","$2,535,767","19,637",345,84,$129.13,"$7,350.05","$30,187.70","$2,425,852","18,130",381,74,$133.80,"$6,367.07","$32,781.79","$2,261,580","15,769",261,60,$143.42,"$8,665.06","$37,693.00",$144.91,7.19%,4.06%
J0735,"Injection, clonidine hydrochloride, 1 mg",Clonidine HCL*,Clonidine HCL/PF*,"$1,487,374","70,114","11,725","5,682",$21.21,$126.85,$261.77,"$799,532","35,594","9,006","5,100",$22.46,$88.78,$156.77,"$751,256","36,751","8,783","5,074",$20.44,$85.54,$148.06,"$496,278","26,774","8,277","4,882",$18.54,$59.96,$101.65,"$284,806","22,039","8,141","4,285",$12.92,$34.98,$66.47,$13.23,-30.28%,-11.65%
